Linux 3.8.0-19-generic (ip-10-58-125-169) 	06/06/2013 	_x86_64_	(1 CPU)

08:44:50 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
08:46:27 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:28 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:29 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:30 PM  all    1.49    0.00    0.00    0.00    0.00    0.00   98.51    0.00    0.00
08:46:31 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:32 PM  all   35.53    0.00    0.00    0.00    0.00    0.00   64.47    0.00    0.00
08:46:33 PM  all   81.15    0.00    0.00    0.00    0.00    0.00   18.85    0.00    0.00
08:46:34 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:35 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:36 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:37 PM  all   86.21    0.00    0.00    0.00    0.00    0.00   13.79    0.00    0.00
08:46:38 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:39 PM  all   97.78    0.00    0.00    0.00    0.00    0.00    2.22    0.00    0.00
08:46:41 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:42 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:43 PM  all    5.09    0.00    0.00    0.00    0.00    0.00   94.91    0.00    0.00
08:46:44 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:45 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:46 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:47 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:48 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:49 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:50 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:51 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:52 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
