Linux 3.8.0-19-generic (ip-10-34-167-107) 	06/07/2013 	_x86_64_	(1 CPU)

07:48:33 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
07:51:32 AM  all    7.95    0.00    0.00    0.00    0.00    0.00   92.05    0.00    0.00
07:51:33 AM  all   93.55    0.00    0.00    0.00    0.00    0.00    6.45    0.00    0.00
07:51:34 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:35 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:36 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:37 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:38 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:39 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:40 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:41 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:42 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:43 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:44 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:45 AM  all    8.14    0.00    0.00    0.00    0.00    0.00   91.86    0.00    0.00
07:51:46 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:47 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:48 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:49 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:50 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
